"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16748-17230","PG","Langston","Galloway","10.899999618530273","1","4000","GS@NO","NO","GS","","","",""
"16748-66048","SF","Brandon","Ingram","11.600000381469727","1","3900","LAL@UTA","LAL","UTA","","","",""
"16748-34615","C","Willie","Reed","20.700000762939453","1","3900","CHA@MIA","MIA","CHA","","","",""
"16748-16448","PF","Frank","Kaminsky","15.514814211998457","81","3900","CHA@MIA","CHA","MIA","GTD","Foot","",""
"16748-9966","SF","James","Johnson","21.399999618530273","1","3900","CHA@MIA","MIA","CHA","","","",""
"16748-16233","SG","Josh","Richardson","12.805769700270433","52","3900","CHA@MIA","MIA","CHA","O","Knee","",""
"16748-60021","PF","Pascal","Siakam","16.799999237060547","1","3900","CLE@TOR","TOR","CLE","","","",""
"16748-15548","SF","Andre","Roberson","19.899999618530273","1","3900","PHO@OKC","OKC","PHO","","","",""
"16748-15520","SG","Sean","Kilpatrick","18.799999237060547","1","3900","IND@BKN","BKN","IND","","","",""
"16748-9553","C","Roy","Hibbert","38.29999923706055","1","3900","CHA@MIA","CHA","MIA","","","",""
"16748-20992","PF","Larry","Nance Jr.","18","1","3900","LAL@UTA","LAL","UTA","","","",""
"16748-42148","SF","Rondae","Hollis-Jefferson","8.399999618530273","1","3900","IND@BKN","BKN","IND","","","",""
"16748-70819","PF","Dragan","Bender","14.399999618530273","1","3900","PHO@OKC","PHO","OKC","","","",""
"16748-9514","SG","Rodney","Stuckey","11.100000381469727","1","3800","IND@BKN","IND","BKN","","","",""
"16748-14515","SG","Iman","Shumpert","8.899999618530273","1","3800","CLE@TOR","CLE","TOR","GTD","Concussion","",""
"16748-15559","SG","Jeremy","Lamb","4.199999809265137","1","3800","CHA@MIA","CHA","MIA","","","",""
"16748-9677","PF","Jared","Dudley","9.899999618530273","1","3800","PHO@OKC","PHO","OKC","","","",""
"16748-58461","PF","Trey","Lyles","7.400000095367432","1","3800","LAL@UTA","UTA","LAL","","","",""
"16748-9712","PG","Jose","Calderon","18.316667344835068","72","3800","LAL@UTA","LAL","UTA","GTD","Calf","",""
"16748-40209","C","Joffrey","Lauvergne","15.23728813559322","59","3800","PHO@OKC","OKC","PHO","","","",""
"16748-58247","PG","Isaiah","Whitehead","2.700000047683716","1","3700","IND@BKN","BKN","IND","","","",""
"16748-16196","PF","Dwight","Powell","11.899999618530273","1","3700","HOU@DAL","DAL","HOU","","","",""
"16748-15730","PF","Thomas","Robinson","12.504225180182658","71","3700","LAL@UTA","LAL","UTA","","","",""
"16748-14549","PF","Lavoy","Allen","13","1","3700","IND@BKN","IND","BKN","","","",""
"16748-12344","PG","Greivis","Vasquez","6.5","1","3700","IND@BKN","BKN","IND","","","",""
"16748-9605","PG","Ramon","Sessions","3","1","3700","CHA@MIA","CHA","MIA","","","",""
"16748-15469","PF","Quincy","Acy","0","1","3700","HOU@DAL","DAL","HOU","","","",""
"16748-9678","PF","Channing","Frye","13.800000190734863","1","3700","CLE@TOR","CLE","TOR","O","Personal","",""
"16748-42689","PG","Tyler","Ennis","6","1","3700","HOU@DAL","HOU","DAL","","","",""
"16748-9725","SF","C.J.","Miles","13.5","1","3700","IND@BKN","IND","BKN","","","",""
"16748-40206","SG","Alex","Abrines","2.200000047683716","1","3700","PHO@OKC","OKC","PHO","","","",""
"16748-9940","SF","Dante","Cunningham","0.5","1","3600","GS@NO","NO","GS","","","",""
"16748-12340","PF","Patrick","Patterson","11.300000190734863","1","3600","CLE@TOR","TOR","CLE","","","",""
"16748-9547","SF","Mike","Dunleavy","17.799999237060547","1","3600","CLE@TOR","CLE","TOR","","","",""
"16748-9629","PF","David","West","4.400000095367432","1","3600","GS@NO","GS","NO","","","",""
"16748-9606","SF","Corey","Brewer","7","1","3600","HOU@DAL","HOU","DAL","","","",""
"16748-9613","PG","Devin","Harris","14.212499618530273","64","3600","HOU@DAL","DAL","HOU","O","Toe","",""
"16748-58463","PG","Tyler","Ulis","7.699999809265137","1","3600","PHO@OKC","PHO","OKC","","","",""
"16748-9706","SF","Richard","Jefferson","21.299999237060547","1","3600","CLE@TOR","CLE","TOR","","","",""
"16748-59318","SF","Joe","Ingles","4.5","1","3500","LAL@UTA","UTA","LAL","","","",""
"16748-9785","SG","James","Jones","5","1","3500","CLE@TOR","CLE","TOR","","","",""
"16748-23920","PF","Anthony","Bennett","3.2421051828484786","19","3500","IND@BKN","BKN","IND","","","",""
"16748-58350","SF","Stanley","Johnson","7.099999904632568","1","3500","ORL@DET","DET","ORL","","","",""
"16748-66091","PF","Cheick","Diallo","0","0","3500","GS@NO","NO","GS","","","",""
"16748-15744","SG","Rodney","McGruder","12.600000381469727","1","3500","CHA@MIA","MIA","CHA","","","",""
"16748-16293","SG","Norman","Powell","1.2000000476837158","1","3500","CLE@TOR","TOR","CLE","","","",""
"16748-9739","C","JaVale","McGee","2","1","3500","GS@NO","GS","NO","","","",""
"16748-9737","SG","Nick","Young","15.100000381469727","1","3500","LAL@UTA","LAL","UTA","","","",""
"16748-15767","PF","Kyle","Wiltjer","0","0","3500","HOU@DAL","HOU","DAL","","","",""
"16748-17542","C","Alan","Williams","9.40999984741211","10","3500","PHO@OKC","PHO","OKC","","","",""
"16748-37931","C","Aron","Baynes","11.600000381469727","1","3500","ORL@DET","DET","ORL","","","",""
"16748-64017","C","Salah","Mejri","10.252941355985755","34","3500","HOU@DAL","DAL","HOU","","","",""
"16748-16335","SG","John","Jenkins","6.7418603231740555","43","3500","PHO@OKC","PHO","OKC","","","",""
"16748-16348","SG","Darrun","Hilliard","6.473684210526316","38","3500","ORL@DET","DET","ORL","","","",""
"16748-71469","SG","Nicolas","Brussino","1.5","1","3500","HOU@DAL","DAL","HOU","","","",""
"16748-55376","SF","Damjan","Rudez","3.3484848484848486","33","3500","ORL@DET","ORL","DET","","","",""
"16748-16376","SF","Dorian","Finney-Smith","1.2000000476837158","1","3500","HOU@DAL","DAL","HOU","","","",""
"16748-16405","SF","Terrence","Ross","16.299999237060547","1","3500","CLE@TOR","TOR","CLE","","","",""
"16748-16411","SG","C.J.","Wilcox","5.278260935907778","23","3500","ORL@DET","ORL","DET","","","",""
"16748-16191","SF","Josh","Huestis","5.8","5","3500","PHO@OKC","OKC","PHO","","","",""
"16748-58658","SG","Patrick","McCaw","9","1","3500","GS@NO","GS","NO","","","",""
"16748-16202","C","Rakeem","Christmas","5.199999809265137","1","3500","IND@BKN","IND","BKN","","","",""
"16748-9956","SG","Wayne","Ellington","12.87894720780222","76","3500","CHA@MIA","MIA","CHA","O","Quadriceps","",""
"16748-15736","C","Jeff","Withey","5.199999809265137","1","3500","LAL@UTA","UTA","LAL","","","",""
"16748-42488","PF","Arinze","Onuaku","0","0","3500","ORL@DET","ORL","DET","","","",""
"16748-16230","SG","Jordan","McRae","2","1","3500","CLE@TOR","CLE","TOR","","","",""
"16748-20806","SF","Treveon","Graham","0","0","3500","CHA@MIA","CHA","MIA","","","",""
"16748-9471","PF","Boris","Diaw","4.599999904632568","1","3500","LAL@UTA","UTA","LAL","","","",""
"16748-9466","PG","D.J.","Augustin","8.699999809265137","1","3500","ORL@DET","ORL","DET","","","",""
"16748-59483","PF","Chris","McCullough","4.400000095367432","1","3500","IND@BKN","BKN","IND","","","",""
"16748-58505","C","Chinanu","Onuaku","0","0","3500","HOU@DAL","HOU","DAL","","","",""
"16748-9490","C","Anderson","Varejao","1","1","3500","GS@NO","GS","NO","","","",""
"16748-17332","C","Tarik","Black","9.800000190734863","1","3500","LAL@UTA","LAL","UTA","","","",""
"16748-15532","SG","K.J.","McDaniels","12.199999809265137","1","3500","HOU@DAL","HOU","DAL","","","",""
"16748-9529","SG","Anthony","Morrow","7.755882711971507","68","3500","PHO@OKC","OKC","PHO","","","",""
"16748-9534","PG","Aaron","Brooks","12.756521916043932","69","3500","IND@BKN","IND","BKN","","","",""
"16748-14552","SG","DeAndre","Liggins","13.100000381469727","1","3500","CLE@TOR","CLE","TOR","","","",""
"16748-9525","PG","C.J.","Watson","11.481817996863162","33","3500","ORL@DET","ORL","DET","","","",""
"16748-74101","PG","Bobby","Brown","0","0","3500","HOU@DAL","HOU","DAL","","","",""
"16748-9513","C","Chris","Andersen","4","1","3500","CLE@TOR","CLE","TOR","","","",""
"16748-41082","C","Damian","Jones","0","0","3500","GS@NO","GS","NO","O","Pectoral","",""
"16748-63826","C","Boban","Marjanovic","3.200000047683716","1","3500","ORL@DET","DET","ORL","","","",""
"16748-14532","SF","Kyle","Singler","5.199999809265137","1","3500","PHO@OKC","OKC","PHO","","","",""
"16748-14529","PG","Cory","Joseph","14.800000190734863","1","3500","CLE@TOR","TOR","CLE","","","",""
"16748-12335","PF","Kevin","Seraphin","9.452083587646484","48","3500","IND@BKN","IND","BKN","","","",""
"16748-15585","SG","Michael","Gbinije","2","1","3500","ORL@DET","DET","ORL","","","",""
"16748-58576","PF","Kevon","Looney","0","1","3500","GS@NO","GS","NO","","","",""
"16748-12349","SF","Luke","Babbitt","12.199999809265137","1","3500","CHA@MIA","MIA","CHA","","","",""
"16748-23156","SF","Georges","Niang","0","0","3500","IND@BKN","IND","BKN","","","",""
"16748-9589","PF","Udonis","Haslem","4.837837837837838","37","3500","CHA@MIA","MIA","CHA","","","",""
"16748-23148","PG","Semaj","Christon","11.199999809265137","1","3500","PHO@OKC","OKC","PHO","","","",""
"16748-9568","SF","Metta","World Peace","0","1","3500","LAL@UTA","LAL","UTA","","","",""
"16748-18828","SG","Joe","Young","0","1","3500","IND@BKN","IND","BKN","","","",""
"16748-42664","SG","Aaron","Harrison","2.238095238095238","21","3500","CHA@MIA","CHA","MIA","","","",""
"16748-23798","SF","Caris","LeVert","0","0","3500","IND@BKN","BKN","IND","O","Foot","",""
"16748-17747","SG","Ian","Clark","10","1","3500","GS@NO","GS","NO","","","",""
"16748-23800","SF","Glenn","Robinson III","-1","1","3500","IND@BKN","IND","BKN","","","",""
"16748-58378","C","Jakob","Poeltl","4.400000095367432","1","3500","CLE@TOR","TOR","CLE","","","",""
"16748-23189","PF","Joel","Bolomboy","0","0","3500","LAL@UTA","UTA","LAL","","","",""
"16748-23776","PF","Montrezl","Harrell","6.966666979667468","39","3500","HOU@DAL","HOU","DAL","","","",""
"16748-9649","PF","Nick","Collison","7.088135800119174","59","3500","PHO@OKC","OKC","PHO","","","",""
"16748-66455","PF","Henry","Ellenson","2.4000000953674316","1","3500","ORL@DET","DET","ORL","","","",""
"16748-9643","PG","Shaun","Livingston","5.400000095367432","1","3500","GS@NO","GS","NO","","","",""
"16748-23757","PG","Brian","Roberts","6.592157102098652","51","3500","CHA@MIA","CHA","MIA","GTD","Hamstring","",""
"16748-55058","SF","Bruno","Caboclo","1.4833332697550456","6","3500","CLE@TOR","TOR","CLE","","","",""
"16748-9693","PG","Beno","Udrih","9.199999809265137","1","3500","ORL@DET","DET","ORL","","","",""
"16748-15955","PF","James Michael","McAdoo","5.660975758622333","41","3500","GS@NO","GS","NO","","","",""
"16748-15947","SG","Reggie","Bullock","7.029729894689612","37","3500","ORL@DET","DET","ORL","O","Back","",""
"16748-42202","PF","Christian","Wood","7.829412123736213","17","3500","CHA@MIA","CHA","MIA","","","",""
"16748-66966","C","Stephen","Zimmerman Jr.","0","0","3500","ORL@DET","ORL","DET","","","",""
"16748-70827","C","Ivica","Zubac","0","0","3500","LAL@UTA","LAL","UTA","","","",""
"16748-66968","SF","Derrick","Jones Jr.","0","0","3500","PHO@OKC","PHO","OKC","","","",""
"16748-55055","PG","Dante","Exum","7.400000095367432","1","3500","LAL@UTA","UTA","LAL","","","",""
"16748-9674","SG","Leandro","Barbosa","1.2000000476837158","1","3500","PHO@OKC","PHO","OKC","","","",""
"16748-24247","PG","Fred","VanVleet","0","0","3500","CLE@TOR","TOR","CLE","","","",""
"16748-9715","SG","Marco","Belinelli","13.300000190734863","1","3500","CHA@MIA","CHA","MIA","","","",""
"16748-40200","C","Lucas","Nogueira","5.824137720568427","29","3500","CLE@TOR","TOR","CLE","O","Ankle","",""
"16748-12423","C","Omer","Asik","4.699999809265137","1","3500","GS@NO","NO","GS","","","",""
"16748-23282","SF","Sam","Dekker","7.199999809265137","1","3500","HOU@DAL","HOU","DAL","","","",""
"16748-66521","PG","Marcelo","Huertas","6.5","1","3500","LAL@UTA","LAL","UTA","","","",""
"16748-40208","PG","Raul","Neto","11.092592592592593","81","3500","LAL@UTA","UTA","LAL","","","",""
"16748-9700","C","Spencer","Hawes","10.899999618530273","1","3500","CHA@MIA","CHA","MIA","","","",""
"16748-23273","C","A.J.","Hammons","0","0","3500","HOU@DAL","DAL","HOU","","","",""
