Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20141028;4668;SG;Clarkson, Jordan;;14.8;$3,500;lal;H;hou;90;108;20;8pt 4rb 2as 1to 1trey 1-4fg 5-6ft
20141028;3789;PG;Price, Ronnie;;14.7;$3,500;lal;H;hou;90;108;27;7pt 1rb 3as 2st 2to 1trey 1-7fg 4-4ft
20141028;4483;SG;Rivers, Austin;;14.7;$3,900;nor;H;orl;101;84;20;7pt 1rb 3as 1st 2-5fg 3-6ft
20141028;4297;PG;Lin, Jeremy;1;14.4;$5,500;lal;H;hou;90;108;29;7pt 2rb 6as 4to 1-5fg 5-6ft
20141028;4468;SG;Fournier, Evan;1;13.6;$4,500;orl;A;nor;84;101;32;11pt 3rb 2as 4to 2trey 3-11fg 3-3ft
20141028;3636;SG;Gordon, Ben;;11.3;$3,500;orl;A;nor;84;101;23;5pt 4rb 1as 1-8fg 3-4ft
20141028;4405;PG;Joseph, Cory;;11.2;$3,500;sas;H;dal;101;100;17;7pt 1rb 2as 1trey 3-4fg 0-0ft
20141028;3054;SG;Terry, Jason;;8.5;$3,800;hou;A;lal;108;90;21;8pt 1as 1to 2trey 3-5fg 0-0ft
20141028;4417;PG;Fredette, Jimmer;;7;$3,500;nor;H;orl;101;84;18;2pt 2as 1st 0-6fg 2-2ft
20141028;4287;SG;Henry, Xavier;;6.2;$3,500;lal;H;hou;90;108;18;3pt 1rb 1st 0-4fg 3-4ft
20141028;3560;PG;Ridnour, Luke;;3.9;$4,700;orl;A;nor;84;101;17;2pt 2rb 1as 2to 0-3fg 2-2ft
20141028;3533;SG;Green, Willie;;2.4;$3,500;orl;A;nor;84;101;4;0pt 2rb 0-1fg 0-0ft
20141028;4569;PG;Canaan, Isaiah;;2.2;$3,600;hou;A;lal;108;90;7;2pt 1rb 1to 0-1fg 2-2ft
20141028;4658;PG;Daniels, Troy;;2;$3,500;hou;A;lal;108;90;9;2pt 0-5fg 2-2ft
20141028;4482;PF;Davis, Anthony;1;73.4;$10,100;nor;H;orl;101;84;36;26pt 17rb 2as 3st 9bl 10-22fg 6-9ft
20141028;4511;PF;Jones, Terrence;1;42.1;$5,700;hou;A;lal;108;90;31;16pt 13rb 3as 2st 2bl 2to 8-16fg 0-1ft
20141028;2223;PF;Duncan, Tim;1;33.6;$7,900;sas;H;dal;101;100;30;14pt 13rb 2as 1st 2bl 5to 5-10fg 4-5ft
20141028;4085;PF;Anderson, Ryan;;32.8;$6,500;nor;H;orl;101;84;22;22pt 9rb 3trey 9-22fg 1-3ft
20141028;4412;SF;Harris, Tobias;1;32.6;$6,400;orl;A;nor;84;101;37;25pt 8rb 1st 4to 1trey 9-18fg 6-6ft
20141028;3461;PF;Boozer, Carlos;1;30.4;$6,600;lal;H;hou;90;108;28;17pt 7rb 2as 1st 7-13fg 3-3ft
20141028;2374;PF;Nowitzki, Dirk;1;29.2;$7,900;dal;A;sas;100;101;32;18pt 6rb 2as 1st 1to 7-11fg 4-4ft
20141028;3621;SF;Ariza, Trevor;1;24.6;$6,100;hou;A;lal;108;90;30;16pt 3rb 2as 2st 2to 5trey 5-10fg 1-1ft
20141028;4276;PF;Davis, Ed;;24.2;$3,700;lal;H;hou;90;108;22;11pt 6rb 1st 2bl 5-7fg 1-2ft
20141028;3527;PF;Diaw, Boris;;20.8;$4,200;sas;H;dal;101;100;33;5pt 9rb 6as 4to 1trey 2-6fg 0-0ft
20141028;4710;SF;Papanikolaou, Kostas;;19.2;$3,500;hou;A;lal;108;90;20;4pt 6rb 4as 2st 2to 2-6fg 0-0ft
20141028;4705;PF;Gordon, Aaron;;15.6;$3,500;orl;A;nor;84;101;28;11pt 3rb 1st 1bl 3to 1trey 5-8fg 0-0ft
20141028;4461;SF;Parsons, Chandler;1;14.8;$6,800;dal;A;sas;100;101;34;5pt 4rb 2st 1bl 1to 1trey 2-10fg 0-0ft
