Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20161114;4292;SF;Johnson, Wesley;;0;$3,500;lac;H;bkn;127;95;NA;
20161114;4324;C;Whiteside, Hassan;1;48.9;$8,400;mia;A;sas;90;94;33.90;23pt 17rb 1as 2st 2bl 4to 9-11fg 5-9ft
20161114;4766;C;Capela, Clint;1;35.1;$4,600;hou;H;phi;115;88;25.53;8pt 13rb 1as 5bl 3-7fg 2-3ft
20161114;4556;C;Baynes, Aron;1;30.1;$3,500;det;H;okc;104;88;33.68;20pt 8rb 1as 1to 8-13fg 4-4ft
20161114;3308;C;Gasol, Pau;1;27.6;$6,000;sas;H;mia;94;90;31.43;12pt 8rb 2as 1st 1bl 1to 6-15fg 0-2ft
20161114;4762;C;Embiid, Joel;1;26.5;$5,400;phi;A;hou;88;115;22.52;13pt 10rb 1as 1st 2bl 6to 6-10fg 1-1ft
20161114;4107;C;Jordan, DeAndre;1;24.8;$6,900;lac;H;bkn;127;95;24.87;7pt 14rb 1st 1bl 3to 3-6fg 1-2ft
20161114;3990;C;Gasol, Marc;1;24;$7,100;mem;A;uta;102;96;32.50;22pt 5rb 1st 6to 2trey 9-17fg 2-4ft
20161114;4458;C;Biyombo, Bismack;;22.8;$4,200;orl;A;ind;69;88;21.05;9pt 9rb 3bl 3to 4-4fg 1-2ft
20161114;4574;C;Adams, Steven;1;18.2;$5,100;okc;A;det;88;104;29.12;4pt 11rb 1st 1bl 3to 1-3fg 2-4ft
20161114;3736;C;Bogut, Andrew;1;17.3;$4,400;dal;A;nyk;77;93;20.95;4pt 9rb 1as 1bl 1to 2-2fg
20161114;4620;C;Gobert, Rudy;1;17;$6,600;uta;H;mem;96;102;21.88;6pt 5rb 2as 1st 1bl 2to 2-3fg 2-2ft
20161114;4373;C;Vucevic, Nikola;1;16.9;$7,100;orl;A;ind;69;88;25.03;2pt 12rb 1as 1bl 3to 1-10fg
20161114;3408;C;Hilario, Nene;;16.8;$3,500;hou;H;phi;115;88;16.22;13pt 4rb 1bl 3to 6-8fg 1-4ft
20161114;4781;C;Turner, Myles;1;15.4;$6,600;ind;H;orl;88;69;23.90;9pt 7rb 2to 4-11fg 1-1ft
