Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
James Michael McAdoo,PF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Jae Crowder,SF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$5900,0
Quincy Pondexter,GF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A
Aaron Harrison,SG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Tiago Splitter,C,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Tyson Chandler,C,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$4700,0
James Jones,SG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Tyreke Evans,SG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$6900,0
Demetrius Jackson,PG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Al-Farouq Aminu,PF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$4500,0
Jose Juan Barea,PG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$5700,0
Nicolas Laprovittola,PG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Ivica Zubac,C,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Wesley Johnson,SF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Malachi Richardson,SG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Skal Labissiere,PF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Brice Johnson,PF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Dejounte Murray,SG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Marcelo Huertas,PG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Deron Williams,PG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$6300,0
Devin Harris,PG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3600,0
Mike Miller,SF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Will Barton,SG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$5300,0
Dewayne Dedmon,C,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Delon Wright,PG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,N/A,N/A
Dirk Nowitzki,PF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$6500,0
